sample_no,event_id,event_type,direction,intensity,uncertainty,relevance,evidence_span
18,C-AN202307181592392742,other_business,neutral,1,1,0.0,关于中航直升机股份有限公司重大资产重组前发生“业绩变脸”或本次重组存在拟置出资产情形相关事项之专项核查说明
19,C-AN202512301811415550,legal_safety_risk,negative,3,1,0.0,公司最近五年曾收到中国证监会四川监管局出具的2份警示函、2份监管关注函，收到上海证券交易所的2份口头警示、1份监管警示
20,C-AN202104191486430875,strategic_cooperation,positive,3,4,0.8,本次签署的《战略合作协议》属框架性协议，是双方就项目合作达成的初步共识，对于合作的具体事项需另行协商，签订专项协议后进行。
21,C-AN202303091584155674,other_business,neutral,1,5,0.0,本次重组尚需公司董事会再次审议通过后提交公司股东大会审议批准，并经有权监管机构核准后方可正式实施，本次重组能否获得相关批准或核准，以及获得相关批准或核准的时间均存在不确定性
22,C-AN202106071496532496,legal_safety_risk,positive,3,1,0.0,原告河北雄安远度科技有限公司提起上诉的五个案件已全部撤诉。
23,C-AN202103311479250543,project_investment,positive,3,2,0.8,"2021年3月31日，公司收到江西省产权交易所交易结果通知书，成交价格为人民币10,327.64万元，同日公司与江西长运、南昌高航签署了《产权交易合同》。"
24,C-AN202309201599486542,other_business,neutral,1,1,0.0,本次重组收到国务院国有资产监督管理委员会下发的《关于中航直升机股份有限公司资产重组和配套融资有关事项的批复》（国资产权〔2023〕456号），国务院国有资产监督管理委员会原则同意本次重组总体方案。
25,C-AN202302071582851573,government_support,positive,3,2,0.8,"海直通航收到2023年通用航空发展专项资金补贴23,270,000元"
26,C-AN202301131581971819,performance,positive,3,2,0.0,"报告期内，公司实现营业收入277,310.11万元，同比增长12.01%；实现归属于母公司所有者的净利润36,419.72万元，同比增长23.15%"
27,C-AN202312251614894376,other_business,neutral,1,1,0.0,本次重组已获得上海证券交易所并购重组审核委员会审核通过
28,C-AN202505071668920097,order_contract,positive,4,3,1.0,全资子公司成都纵横大鹏无人机科技有限公司（以下简称“纵横大鹏”）已收到“智慧巴中”低空数字经济无人值守系统及配套设施建设项目的中标通知书
29,C-AN202103241475601933,project_investment,positive,3,4,0.8,公司拟通过公开摘牌方式受让该挂牌股权。
30,C-AN202201051538613576,government_support,positive,3,2,0.8,"海直通航收到2022年通用航空发展专项资金补贴27,540,000元"
31,C-AN202602261820065672,performance,positive,4,2,0.8,"报告期内，公司实现营业收入301,585.14万元，同比增加340.11%；实现利润总额7,347.61万元，同比增加206.66%；实现归属于母公司所有者的净利润8,857.49万元，同比增加264.28%"
32,C-AN202309271600020545,order_contract,positive,3,4,0.8,全资子公司天津直升机有限责任公司与河南民航发展投资集团有限公司签署了《AC系列民用直升机购销合同》，合同总计22架直升机
33,C-AN202410141640286073,legal_safety_risk,negative,3,4,0.0,北京远度互联科技有限公司（以下简称“北京远度”）起诉纵横股份及纵横大鹏不正当竞争。
34,C-AN202306081590582489,other_business,neutral,1,5,0.0,本次重组尚需公司董事会再次审议通过后提交公司股东大会审议批准，并经有权监管机构核准后方可正式实施，本次重组能否获得相关批准或核准，以及获得相关批准或核准的时间均存在不确定性
35,C-AN202301091581821412,other_business,neutral,1,5,0.0,中航直升机股份有限公司（以下简称“公司”或“中直股份”）拟发行股份购买昌河飞机工业（集团）有限责任公司和哈尔滨飞机工业集团有限责任公司 100%股权并募集配套资金
36,C-AN202101041446940189,project_investment,positive,3,4,0.8,拟设立中信海直青岛通用航空服务有限公司
37,C-AN202204061557651847,order_contract,positive,3,2,0.8,航天彩虹无人机股份有限公司（以下简称“公司”）为该项目第1包、第2包的中标人，中标金额总价合计1183.12万元
38,C-AN202106161498304882,strategic_cooperation,positive,2,4,0.8,本次签署的《战略合作框架协议》属于框架性约定，确立了双方战略合作伙伴关系，为双方推进具体项目合作奠定了基础，但双方后续的合作以具体签订的协议为准，具体实施内容和进度尚存在不确定性。
39,C-AN202401041616339965,government_support,positive,3,2,0.8,"海直通航收到2024年通用航空发展专项资金补贴24,550,000元"
40,C-AN202306011587464512,product_technology,positive,4,3,0.9,公司立项研发的大载重无人机系统，为一款最大起飞重量 800kg 级别的固定翼无人机系统，最高航时超过 24 小时，最大载荷能力超过 200 公斤。近日，公司顺利完成大载重无人机系统 01 号样机的首次飞行测试。
